donor_type	acceptor_type	donor	acceptor	R0
AlexaFluor	AlexaFluor	660	680	7.21261235864165
AlexaFluor	AlexaFluor	660	700	7.583208162908208
AlexaFluor	AlexaFluor	660	750	7.608904500015614
AlexaFluor	AlexaFluor	660	790	6.867317454572751
AlexaFluor	ATTO	660	550	0.8981430033370156
AlexaFluor	ATTO	660	610	3.117586335958311
AlexaFluor	ATTO	660	647N	4.752161295475659
AlexaFluor	ATTO	660	Thio12	1.580044512303275
AlexaFluor	Lumiprobe	660	Cy3	0.40775461526380435
AlexaFluor	Lumiprobe	660	Cy3W	0.419818497281037
AlexaFluor	Lumiprobe	660	Cy5	5.251547322845247
AlexaFluor	Lumiprobe	660	Cy5W	5.3226204356536355
AlexaFluor	Lumiprobe	660	Cy55	7.171234038538445
AlexaFluor	Lumiprobe	660	Cy7	7.077025974574509
AlexaFluor	Lumiprobe	660	Cy75	6.7152610489538
AlexaFluor	CF	660	660R	5.612868352966682
AlexaFluor	AlexaFluor	680	532	1.5989339185242792
AlexaFluor	AlexaFluor	680	546	1.9764175013206275
AlexaFluor	AlexaFluor	680	568	
AlexaFluor	AlexaFluor	680	594	1.750789023536609
AlexaFluor	AlexaFluor	680	610	1.3585441979488138
AlexaFluor	AlexaFluor	680	633	2.8840222064386234
AlexaFluor	AlexaFluor	680	635	2.8494896211627636
AlexaFluor	AlexaFluor	680	647	4.633617862925828
AlexaFluor	AlexaFluor	680	660	5.67658674056263
AlexaFluor	AlexaFluor	680	680	6.7249591276131735
AlexaFluor	AlexaFluor	680	700	7.380995107661478
AlexaFluor	AlexaFluor	680	750	7.8681364486442735
AlexaFluor	AlexaFluor	680	790	7.283027883240083
AlexaFluor	ATTO	680	610	2.713930500712691
AlexaFluor	ATTO	680	647N	3.746481629165376
AlexaFluor	ATTO	680	Thio12	1.1320101653077161
AlexaFluor	Lumiprobe	680	Cy5	4.130212227218682
AlexaFluor	Lumiprobe	680	Cy5W	4.186109474544382
AlexaFluor	Lumiprobe	680	Cy55	6.4097125974749085
AlexaFluor	Lumiprobe	680	Cy7	7.367726403376701
AlexaFluor	Lumiprobe	680	Cy75	7.113710190034663
AlexaFluor	CF	680	660R	4.8020384462263594
AlexaFluor	AlexaFluor	700	532	1.2622687348812236
AlexaFluor	AlexaFluor	700	546	1.5577960430358395
AlexaFluor	AlexaFluor	700	568	0.6190060836685182
AlexaFluor	AlexaFluor	700	594	1.4093424176424592
AlexaFluor	AlexaFluor	700	610	1.4391640547784479
AlexaFluor	AlexaFluor	700	633	2.498769897264363
AlexaFluor	AlexaFluor	700	635	2.4605872245961113
AlexaFluor	AlexaFluor	700	647	3.705733617761032
AlexaFluor	AlexaFluor	700	660	4.744815398733795
AlexaFluor	AlexaFluor	700	680	5.781948366768265
AlexaFluor	AlexaFluor	700	700	6.613069587006661
AlexaFluor	AlexaFluor	700	750	7.563387867633932
